model,lambda,test_mse,test_r2,intercept,coef_gene_1,coef_gene_2,coef_gene_3,coef_gene_4,coef_gene_5,coef_gene_6,coef_gene_7,coef_gene_8,coef_gene_9,coef_gene_10,coef_gene_11,coef_gene_12,coef_gene_13,coef_gene_14,coef_gene_15,coef_gene_16,coef_gene_17,coef_gene_18,coef_gene_19,coef_gene_20,coef_gene_21,coef_gene_22,coef_gene_23,coef_gene_24
Lasso,0.003,17.626432894878903,0.9769663100987742,-0.4641551433424149,20.63264653901814,-14.778145210397655,9.652669291763264,-1.834172635388042,0.9412007341088361,1.92893778890662,0.10156469302949876,2.1158704110817044,-4.281639775461001,1.1379926979659634,0.28700225761571874,0.00562721482816511,0.2214124779561412,0.2607739191110636,0.1961432228055798,-0.48611574559591203,-0.48753388400734826,0.5564369524572027,-0.3077146095317138,-0.11871387479389951,0.0,-0.6146390818301916,0.6439269446131165,-0.7225277469110863
Lasso,0.01,16.612589375985593,0.9782911701746516,-0.45030771047002427,20.577355937539007,-14.74230018507916,9.640378155996283,-1.4074958270484705,0.7312362347377357,1.7155438231534725,0.0,1.7837346352178536,-3.82291954015325,1.0572226695833822,0.27173152682604595,0.002024328746572728,0.16455355887582432,0.2215740208979426,0.17808544031698303,-0.45638441099816396,-0.4703703922087707,0.5173729502493036,-0.2844749999922309,-0.09379207246362967,0.014607284647458921,-0.57344098354609,0.6071929405987609,-0.6723503433248986
Lasso,0.03,14.468811384749888,0.9810925944765331,-0.4268213753271265,20.420932401680304,-14.650397813173502,9.609408927499679,-0.29126023401484,0.16688113420275216,1.1852220759893684,0.0,0.8397500699612238,-2.6087137274966565,0.636900602146922,0.22151455623897956,0.0,0.02017494402115577,0.14517489881878748,0.15782893468623016,-0.3746778671924014,-0.4262100689451577,0.4205015439727482,-0.1989921241934234,-0.02864940089984264,0.0559928781498449,-0.46947724408660696,0.5185522394649678,-0.5486486524924119
Lasso,0.1,12.225640663540135,0.9840239021946627,-0.3641752171778924,20.157135941679293,-14.588980137486962,9.471449447160555,-0.0,0.0,0.0,-0.0,0.0,-0.19366987113459602,0.0,0.15425754318006998,0.0,-0.0,0.0,0.04111327529476118,-0.23799116464227651,-0.18921623594189743,0.30837121937081474,-0.02713049196461878,-0.0,0.08225309120286331,-0.3451871226461342,0.28152939195617754,-0.38283567276047636
Lasso,0.3,12.26773669119148,0.9839688923777147,-0.31889728681653584,19.826634385161178,-14.427068778394847,9.34727369740193,-0.0,-0.0,-0.0,-0.0,-0.0,-0.07994077846045566,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.05616128432570562,-0.0,0.0,-0.0,0.0,0.0,-0.1232656506615355,0.0,-0.1650429512510527
Lasso,1.0,13.004011249804925,0.9830067510320207,-0.2844038009969933,19.00997040816593,-13.532720173419687,8.661118402291953,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0
Lasso,3.0,48.270454556174805,0.936921628541123,-0.031993911050869905,16.54003518531327,-10.979303620305233,6.446112626195803,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
Lasso,10.0,516.9930443512831,0.32440911126505567,0.5908421135352206,8.004032114327538,-1.8921268969503067,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
Lasso,30.0,793.0968658787549,-0.036395019867731415,-0.21581399309425908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lasso,100.0,793.0968658787549,-0.036395019867731415,-0.21581399309425908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
