model,lambda,test_mse,test_r2,intercept,coef_feature_1,coef_feature_2,coef_feature_3,coef_feature_4,coef_feature_5
Lasso,0.003,0.9203385575714018,0.9989037712599526,0.0027088373052757964,19.97699114422249,-14.957935664547133,1.9934107817134548,-9.950905313835582,9.978061185541563
Lasso,0.01,0.9229579707292389,0.9989006512385625,0.0026529789191443304,19.970295371153316,-14.950958611903994,1.9926552255488506,-9.943981837840916,9.971421020827536
Lasso,0.03,0.9325345717409836,0.9988892444087881,0.002493383530197235,19.95116459095567,-14.931024175780736,1.9904964936499823,-9.924200477856157,9.952449121644607
Lasso,0.1,0.9904659151578885,0.9988202415368769,0.0019347996688824226,19.884206860263916,-14.861253649349333,1.9829409320039424,-9.8549657179095,9.886047474504348
Lasso,0.3,1.3652403809987297,0.9983738421796938,0.00033884577941163674,19.69289905828747,-14.661909288116757,1.9613536130152576,-9.657152118061916,9.696328482675039
Lasso,1.0,5.118274999021361,0.9939035476594622,-0.005246992833736253,19.023321751369913,-13.964204023802735,1.8857979965548608,-8.964804518595361,9.032312011272456
Lasso,3.0,36.76686522976902,0.9562064481437358,-0.02120653172844461,17.11024373160547,-11.970760411476958,1.6699248066680121,-6.986668520119496,7.135122092979357
Lasso,10.0,391.66934675697945,0.5334769026263636,-0.07706488134850759,10.414473072795449,-4.99370355606763,0.914369587691064,-0.06319332969559714,0.4949571834359743
Lasso,30.0,839.6175941912101,-8.081790103542374e-05,0.020314211474046148,0.0,0.0,0.0,0.0,0.0
Lasso,100.0,839.6175941912101,-8.081790103542374e-05,0.020314211474046148,0.0,0.0,0.0,0.0,0.0
OLS,0.0,0.9193321855656001,0.9989049699643934,0.0027327749323183687,19.97986017515451,-14.960926153915185,1.9937344347618096,-9.953872349487185,9.980907012096827
Ridge,0.003,0.9193351762898643,0.9989049664020978,0.002732801806263646,19.979845564957117,-14.960914999323117,1.9937342970471468,-9.95386497623194,9.980900124269512
Ridge,0.01,0.919342157962815,0.9989049580861249,0.0027328645119425454,19.979811474579655,-14.960888972006376,1.9937339757128756,-9.953847772012338,9.980884052709186
Ridge,0.03,0.9193621311826677,0.9989049342957301,0.002733043669526883,19.979714074142677,-14.960814608743556,1.993733057614509,-9.953798617427617,9.980838134248676
Ridge,0.1,0.9194323359045754,0.9989048506738573,0.002733670703592761,19.979373180097006,-14.960554343148733,1.9937298442649718,-9.953626580212722,9.980677422941689
Ridge,0.3,0.9196354786248382,0.9989046087075868,0.0027354620796843504,19.97839926125136,-14.959810777088737,1.99372066322126,-9.9531350781531,9.980218276103747
Ridge,1.0,0.9203763049867337,0.9989037262984531,0.002741730148704824,19.974991293437714,-14.957208878199225,1.993688529043144,-9.95141520398649,9.978611592555376
Ridge,3.0,0.9227482477719524,0.9989009010426497,0.0027596239531516298,19.965260650684982,-14.94977986909273,1.9935967126116318,-9.946504558651055,9.974023898142471
Ridge,10.0,0.9340144027821332,0.9988874817603537,0.0028220781797806543,19.931277986089473,-14.923836387246329,1.9932753029449652,-9.929355484639608,9.957999912240313
Ridge,30.0,0.9912547899431355,0.9988193018965621,0.0029990391687822887,19.83481946521582,-14.850206162510313,1.992356549537401,-9.880683087737191,9.912497637828348
Ridge,100.0,1.4704072196841156,0.9982485764173084,0.003601615548658385,19.50444949941302,-14.598128135414774,1.9891360454133102,-9.714031765032187,9.756442446897893
