model,lambda,test_mse,test_r2,intercept,coef_sensor_1,coef_sensor_2,coef_sensor_3,coef_sensor_4,coef_sensor_5,coef_sensor_6,coef_sensor_7,coef_sensor_8,coef_sensor_9,coef_sensor_10
Lasso,0.003,20.52088676090263,0.8451341081407965,-0.6133904003690662,2.992574871054879,2.117929120224948,1.453708377417631,3.6403783479541576,1.3398856143823579,2.042915043131194,4.469485414410271,1.6094847993524448,0.06879210723460988,0.2848974170368269
Lasso,0.01,20.43273130329798,0.8457993948666221,-0.6110518978934718,2.9931681856613714,2.111296251825697,1.4536067755891475,3.6343504823212442,1.34359363476425,2.041847907885236,4.4612012300727715,1.607402880915406,0.05727393064515982,0.27918437083893133
Lasso,0.03,20.184844265083306,0.8476701350398291,-0.6044807457373962,2.9947436519601998,2.0928376798024053,1.4532400951683515,3.6170010274574076,1.353526697506496,2.0389100089370213,4.438110908591967,1.6014756020130294,0.02443515953397601,0.2628986970731251
Lasso,0.1,19.58812893771837,0.852173393229163,-0.5978204938607967,3.0034203845841763,2.037375198374205,1.4586146300969283,3.5495059411798517,1.3617646064462783,2.017487305507426,4.3685260654769875,1.5997604174344775,0.0,0.22165556092648964
Lasso,0.3,18.238007340717058,0.8623624161341743,-0.59114634871031,3.0308349038883358,1.884654390769307,1.479399209368792,3.3518117257843434,1.3663343219446376,1.9470310973494438,4.176973584834852,1.6099080363064282,-0.0,0.11591500409400442
Lasso,1.0,15.329846753359215,0.8843095614149052,-0.5977188583960347,3.081126444612575,1.299600238300384,1.5996567482336927,2.6592823467057998,1.3428510958518074,1.7172875911417826,3.553633161529284,1.5844500142826545,-0.0,0.0
Lasso,3.0,25.779165242699055,0.8054512232725384,-0.7000199060914007,3.0748291188135006,0.0,1.8533850113491053,0.5417349031493517,1.177803153417021,1.1236842936451594,1.8786454225002156,1.415339696801479,-0.0,0.0
Lasso,10.0,132.70828898475972,-0.0015155665636414906,-0.8593900968642444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lasso,30.0,132.70828898475972,-0.0015155665636414906,-0.8593900968642444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lasso,100.0,132.70828898475972,-0.0015155665636414906,-0.8593900968642444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLS,0.0,20.560141383714242,0.844837863527094,-0.6145751303033055,2.9917420959318175,2.1213875571531657,1.45394321426912,3.6428788197456776,1.3368844172183805,2.0423004653672048,4.473985488691621,1.6117677577089942,0.07395926036989942,0.287422112827575
Ridge,0.003,20.5579311553838,0.8448545435558663,-0.614544755773581,2.9916658749599865,2.1213302620999905,1.4541605763548517,3.6426005460629973,1.3370371231858436,2.042379156707485,4.473522424060718,1.611827312638679,0.07393489197875418,0.28741964460656544
Ridge,0.01,20.55277724679908,0.8448934387877748,-0.6144739507681294,2.991488081121301,2.121196697154842,1.4546673663869851,3.641951544820188,1.337393174388365,2.0425625230473563,4.472442582836983,1.6119662554166216,0.07387806715598645,0.28741390374436615
Ridge,0.03,20.538077128008577,0.8450043768302411,-0.6142721809741999,2.9909805232349913,2.12081603275541,1.4561123495040853,3.640099597274199,1.3384084412197579,2.043084528233913,4.469362272177516,1.6123630888496854,0.07371597796786765,0.2873976423595003
Ridge,0.1,20.48692032173243,0.8453904441830282,-0.6135721250360847,2.989209003915267,2.119494672474634,1.4611351518394888,3.6336449675446656,1.3419384457314587,2.0448895880944487,4.458638573057394,1.613750248164616,0.07315176085053647,0.28734236410617076
Ridge,0.3,20.34322558035544,0.8464748717001287,-0.6116233884542843,2.9841893124804657,2.115810476593358,1.4751947946870094,3.61543282884738,1.3518274641837285,2.04986350009671,4.428482249309438,1.617697145030384,0.07156561211165997,0.28719821870229006
Ridge,1.0,19.867296122639647,0.8500665897769346,-0.6053596567618829,2.9670891071856786,2.103876630434789,1.5212138105777027,3.5542444551187176,1.3842931094864692,2.0653056791344713,4.328235864312333,1.6312745857666375,0.06629372465299349,0.28684585681265357
Ridge,3.0,18.70131393377674,0.8588659595933615,-0.5913422351729765,2.9218008167519156,2.0759830350980546,1.6297973098528054,3.398518375048527,1.4617646770290273,2.0961098095628508,4.080158480524833,1.6673060313642962,0.05317174714960512,0.28694705556865896
Ridge,10.0,16.02226756241357,0.8790840383960667,-0.5679002572101763,2.7921310384944156,2.01122544350315,1.8471707923736362,3.0035583663559096,1.6244202064026678,2.123034593388983,3.491503582349143,1.7564875342005715,0.020381295432876395,0.29507878962279077
Ridge,30.0,13.129746210413904,0.9009131583614222,-0.5675108686924809,2.5307774275473602,1.8789563077680331,1.9842562873333036,2.4157833202361254,1.7502605158268256,2.030379554284582,2.7100802088554787,1.822687443702713,-0.030891066988267657,0.33319688994929003
Ridge,100.0,16.451043926123532,0.8758481726779925,-0.6346973876957331,1.9703229134410367,1.5091950114870711,1.7286040252984725,1.654329759061412,1.5866734193977619,1.6576235529927363,1.8386392705002368,1.6254942846597031,-0.08795250968948873,0.393149772134843
